si.no,libraryurl,docount,ow.rule.entitybanks,ow.rule.exactname,ow.rule.graphlinkmerger,ow.rule.reit_price,ow.rule.reit_sqfeet,ow.rule.last_updated,ow.rule.entitylist,ow.rule.entitymed,ow.rule.entityreits
77,http://dev.openwaternet.com/libraries/med_page_today_specialty,80,0,123,8,0,0,20,285,559,0
78,http://dev.openwaternet.com/libraries/almirall,40,0,62,4,0,0,15,150,0,0
79,http://dev.openwaternet.com/libraries/amgen,20,0,24,3,0,0,4,69,0,0
80,http://dev.openwaternet.com/libraries/array_biopharma,20,0,24,3,0,0,4,63,0,0
81,http://dev.openwaternet.com/libraries/mhra_uk,240,0,470,41,0,0,43,855,1150,0
82,http://dev.openwaternet.com/libraries/nexis_lexis_patent_law_community_news,40,0,54,3,0,0,7,118,0,0
83,http://dev.openwaternet.com/libraries/bayer,20,0,17,1,0,0,2,52,0,0
84,http://dev.openwaternet.com/libraries/biogen_idec_2,20,0,24,7,0,0,4,70,0,0
85,http://dev.openwaternet.com/libraries/boehringer_ingelheim,40,0,62,4,0,0,10,144,0,0
86,http://dev.openwaternet.com/libraries/nice_press_releases,200,0,369,22,0,0,33,703,917,0
87,http://dev.openwaternet.com/libraries/cdc_listeria_outbreak_update,20,0,39,2,0,0,12,79,134,0
88,http://dev.openwaternet.com/libraries/otsuka_company_news,20,0,24,0,0,0,1,49,0,0
89,http://dev.openwaternet.com/libraries/cdc_salmonella_outbreak_update,80,0,140,8,0,0,29,329,428,0
90,http://dev.openwaternet.com/libraries/cubist,20,0,31,2,0,0,3,66,0,0
91,http://dev.openwaternet.com/libraries/otsuka_pharmaceuticals,120,0,0,14,0,0,8,380,0,0
92,http://dev.openwaternet.com/libraries/pacer_gov,20,0,20,1,0,0,2,48,0,0
93,http://dev.openwaternet.com/libraries/cumberland_pharmaceuticals,20,0,26,2,0,0,3,62,0,0
94,http://dev.openwaternet.com/libraries/pacira_pharma,20,0,25,2,0,0,3,58,0,0
95,http://dev.openwaternet.com/libraries/eli_lilly,40,0,80,6,0,0,12,175,0,0
96,http://dev.openwaternet.com/libraries/express_scripts,20,0,27,2,0,0,4,64,0,0
97,http://dev.openwaternet.com/libraries/pdma_japan,20,0,33,3,0,0,3,65,88,0
98,http://dev.openwaternet.com/libraries/fda_medwatch_safety_alerts,20,0,0,3,0,0,0,151,110,0
99,http://dev.openwaternet.com/libraries/fda_recalls,20,0,0,3,0,0,0,73,96,0
100,http://dev.openwaternet.com/libraries/pharmaceutical_business_review,260,0,472,40,0,0,24,856,0,0
101,http://dev.openwaternet.com/libraries/gedeon_richter,20,0,32,2,0,0,3,63,0,0
102,http://dev.openwaternet.com/libraries/pharma_intellect,40,0,58,3,0,0,5,122,176,0
103,http://dev.openwaternet.com/libraries/impax_laboratories,0,0,0,0,0,0,0,0,0,0
104,http://dev.openwaternet.com/libraries/ipsen,20,0,41,2,0,0,1,84,0,0
105,http://dev.openwaternet.com/libraries/johnson_and_johnson_2,20,0,26,0,0,0,5,65,0,0
106,http://dev.openwaternet.com/libraries/pharma_tech,140,0,264,15,0,0,44,584,0,0
107,http://dev.openwaternet.com/libraries/mallinckdrodt,20,0,25,2,0,0,2,56,0,0
108,http://dev.openwaternet.com/libraries/map_pharmaceuticals,20,0,26,1,0,0,3,57,0,0
109,http://dev.openwaternet.com/libraries/pharma_times,20,0,26,1,0,0,2,53,0,0
110,http://dev.openwaternet.com/libraries/plos_medicine_new_artilces,40,0,78,3,0,0,40,258,329,0
111,http://dev.openwaternet.com/libraries/medical_express_com,840,0,1940,169,0,0,404,4282,6436,0
112,http://dev.openwaternet.com/libraries/regulations_gov,20,0,14,1,0,0,1,39,0,0
113,http://dev.openwaternet.com/libraries/morbidity_and_mortality_weekly_report,20,0,42,2,0,0,49,213,258,0
114,http://dev.openwaternet.com/libraries/reuters_healthcare,40,0,65,3,0,0,10,140,180,0
115,http://dev.openwaternet.com/libraries/mylan,20,0,29,2,0,0,4,65,0,0
116,http://dev.openwaternet.com/libraries/reuters_health_news_rss_feed,40,0,83,6,0,0,10,163,184,0
117,http://dev.openwaternet.com/libraries/news_medical,20,0,27,1,0,0,2,57,0,0
118,http://dev.openwaternet.com/libraries/nj_district_court,20,0,20,1,0,0,2,47,0,0
119,http://dev.openwaternet.com/libraries/salix_pharmaceuticals,60,0,156,8,0,0,40,352,0,0
120,http://dev.openwaternet.com/libraries/novo_nordisk_2,20,0,44,0,0,0,11,121,0,0
121,http://dev.openwaternet.com/libraries/spec_pharma_twitter_account,120,0,261,14,0,0,29,493,0,0
122,http://dev.openwaternet.com/libraries/orion,60,0,120,6,0,0,20,249,0,0
123,http://dev.openwaternet.com/libraries/pacira_pharmaceuticals,20,0,0,2,0,0,0,0,0,0
124,http://dev.openwaternet.com/libraries/par_pharmaceuticals,20,0,28,2,0,0,1,56,0,0
125,http://dev.openwaternet.com/libraries/takeda,20,0,28,2,0,0,2,60,0,0
126,http://dev.openwaternet.com/libraries/pfizer,40,0,67,5,0,0,12,159,0,0
